"snippet","data_ref","x","y","bar","bar_moment"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM198_DiHeningPagi/GPM198_DiHeningPagi_ly_data.ily:55:13:14",10.536,15.732,0.0,"0"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM198_DiHeningPagi/GPM198_DiHeningPagi_ly_data.ily:55:17:18",13.35,15.732,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM198_DiHeningPagi/GPM198_DiHeningPagi_ly_data.ily:55:23:24",17.541,15.732,1.0,"1/4"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM198_DiHeningPagi/GPM198_DiHeningPagi_ly_data.ily:55:29:30",21.951,15.732,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM198_DiHeningPagi/GPM198_DiHeningPagi_ly_data.ily:55:33:34",24.851,15.732,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM198_DiHeningPagi/GPM198_DiHeningPagi_ly_data.ily:55:39:40",28.186,15.732,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM198_DiHeningPagi/GPM198_DiHeningPagi_ly_data.ily:55:43:44",31.282,15.732,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM198_DiHeningPagi/GPM198_DiHeningPagi_ly_data.ily:55:49:50",34.421,15.732,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM198_DiHeningPagi/GPM198_DiHeningPagi_ly_data.ily:55:53:54",38.371,15.732,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM198_DiHeningPagi/GPM198_DiHeningPagi_ly_data.ily:55:59:60",41.885,15.732,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM198_DiHeningPagi/GPM198_DiHeningPagi_ly_data.ily:55:65:66",46.076,15.732,2.0,"5/4"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM198_DiHeningPagi/GPM198_DiHeningPagi_ly_data.ily:55:70:71",52.023,15.732,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM198_DiHeningPagi/GPM198_DiHeningPagi_ly_data.ily:55:75:76",54.342,15.732,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM198_DiHeningPagi/GPM198_DiHeningPagi_ly_data.ily:56:2:3",62.092,15.732,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM198_DiHeningPagi/GPM198_DiHeningPagi_ly_data.ily:56:6:7",66.52,15.732,"",""
