"pitch","midi","channel","on_tick","off_tick"
"b",59,0,192,384
"cis'",61,0,384,576
"b",59,0,576,768
"e'",64,0,768,1152
"e'",64,0,1152,1536
"gis'",68,0,1536,2112
"fis'",66,0,2112,2304
"fis'",66,0,2304,2688
"e'",64,0,2688,3072
"b",59,0,3264,3456
"cis'",61,0,3456,3648
"b",59,0,3648,3840
"e'",64,0,3840,4224
"e'",64,0,4224,4608
"gis'",68,0,4608,4992
"fis'",66,0,4992,5184
"e'",64,0,5184,5376
"fis'",66,0,5376,6144
"b'",71,0,6336,6528
"cis''",73,0,6528,6720
"b'",71,0,6720,6912
"gis'",68,0,6912,7296
"gis'",68,0,7296,7680
"fis'",66,0,7680,8064
"fis'",66,0,8064,8256
"gis'",68,0,8256,8448
"a'",69,0,8448,8832
"cis''",73,0,8832,9216
"cis''",73,0,9408,9600
"b'",71,0,9600,9792
"a'",69,0,9792,9984
"gis'",68,0,9984,10368
"e'",64,0,10368,10752
"gis'",68,0,10752,10944
"fis'",66,0,10944,11136
"e'",64,0,11136,11328
"dis'",63,0,11328,11520
"e'",64,0,11520,12288
"e'",64,0,12288,13056
"b'",71,0,13056,13824
"cis''",73,0,13824,14400
"b'",71,0,14400,14592
"b'",71,0,14592,14976
"a'",69,0,14976,16128
"fis'",66,0,16128,16896
"b'",71,0,16896,17472
"a'",69,0,17472,17664
"a'",69,0,17664,18048
"gis'",68,0,18048,18816
"e'",64,0,19200,19392
"e'",64,0,19392,19584
"e'",64,0,19584,19776
"e'",64,0,19776,19968
"e'",64,0,19968,20352
"gis'",68,0,20352,20736
"fis'",66,0,20736,21120
"a'",69,0,21120,21888
"dis'",63,0,22272,22464
"e'",64,0,22464,22656
"fis'",66,0,22656,22848
"gis'",68,0,22848,23040
"a'",69,0,23040,23424
"dis'",63,0,23424,23808
"e'",64,0,23808,24576
