"snippet","data_ref","x","y","tied_data_refs"
"b","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:42:20:21",12.736,12.736,""
"cis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:42:23:24",15.362,12.736,""
"b","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:42:29:30",19.602,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:42:34:35",23.928,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:42:38:39",27.557,12.736,""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:42:42:43",31.186,12.736,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:42:49:50",36.736,12.736,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:42:57:58",40.926,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:42:63:64",44.555,12.736,""
"b","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:43:9:10",50.384,12.736,""
"cis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:43:12:13",53.557,12.736,""
"b","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:43:18:19",57.02,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:43:23:24",61.211,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:43:27:28",64.84,12.736,""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:43:31:32",69.131,12.736,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:43:37:38",72.76,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:43:43:44",75.686,12.736,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:43:49:50",79.876,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:44:9:10",88.826,12.736,""
"cis''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:44:13:14",92.597,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:44:20:21",96.128,12.736,""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:44:26:27",100.319,12.736,""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:44:32:33",103.948,12.736,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:44:38:39",108.435,12.736,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:44:44:45",112.064,12.736,""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:44:52:53",114.494,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:44:61:62",118.685,12.736,""
"cis''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:44:65:66",122.489,12.736,""
"cis''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:45:9:10",128.318,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:45:16:17",131.969,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:45:20:21",134.664,12.736,""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:45:26:27",138.855,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:45:32:33",142.484,12.736,""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:45:36:37",146.113,12.736,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:45:44:45",149.206,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:45:51:52",152.299,12.736,""
"dis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:45:57:58",154.728,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:45:66:67",158.935,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:45:70:71",165.684,12.736,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:48:6:7",174.195,12.736,""
"cis''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM200_PagiYangIndah/GPM200_PagiYangIndah_ly_data.ily:48:10:11",180.945,12.736,""
