"pitch","midi","channel","on_tick","off_tick"
"fis'",66,0,0,192
"fis'",66,0,192,384
"fis'",66,0,384,576
"fis'",66,0,576,768
"e'",64,0,768,960
"d'",62,0,960,1152
"d'",62,0,1152,1344
"e'",64,0,1344,1536
"fis'",66,0,1536,2688
"fis'",66,0,3072,3264
"fis'",66,0,3264,3456
"fis'",66,0,3456,3648
"fis'",66,0,3648,3840
"g'",67,0,3840,4032
"g'",67,0,4032,4224
"fis'",66,0,4224,4416
"g'",67,0,4416,4608
"a'",69,0,4608,5376
"fis'",66,0,5568,5760
"e'",64,0,5760,5952
"d'",62,0,5952,6144
"b'",71,0,6144,6528
"b'",71,0,6528,6912
"b'",71,0,6912,7104
"g'",67,0,7104,7296
"g'",67,0,7296,7488
"b'",71,0,7488,7680
"a'",69,0,7680,7872
"a'",69,0,7872,8256
"g'",67,0,8256,8448
"fis'",66,0,8448,8832
"gis'",68,0,9216,9408
"gis'",68,0,9408,9792
"fis'",66,0,9792,9984
"e'",64,0,9984,10176
"gis'",68,0,10176,10368
"b'",71,0,10368,10560
"gis'",68,0,10560,10752
"a'",69,0,10752,11904
"fis'",66,0,12288,12480
"fis'",66,0,12480,12672
"fis'",66,0,12672,12864
"fis'",66,0,12864,13056
"e'",64,0,13056,13248
"d'",62,0,13248,13440
"d'",62,0,13440,13632
"e'",64,0,13632,13824
"fis'",66,0,13824,14976
"fis'",66,0,15360,15552
"fis'",66,0,15552,15744
"fis'",66,0,15744,15936
"fis'",66,0,15936,16128
"g'",67,0,16128,16320
"g'",67,0,16320,16512
"fis'",66,0,16512,16704
"g'",67,0,16704,16896
"a'",69,0,16896,17664
"fis'",66,0,17856,18048
"e'",64,0,18048,18240
"d'",62,0,18240,18432
"b'",71,0,18432,18816
"b'",71,0,18816,19200
"b'",71,0,19200,19392
"g'",67,0,19392,19584
"g'",67,0,19584,19776
"b'",71,0,19776,19968
"a'",69,0,19968,20160
"a'",69,0,20160,20544
"g'",67,0,20544,20736
"fis'",66,0,20736,21120
"e'",64,0,21504,21696
"e'",64,0,21696,21888
"e'",64,0,21888,22080
"fis'",66,0,22080,22272
"g'",67,0,22272,22464
"e'",64,0,22464,22656
"d'",62,0,22656,22848
"cis'",61,0,22848,23040
"d'",62,0,23040,23808
"a'",69,0,24192,24384
"b'",71,0,24384,24576
"a'",69,0,24576,24960
"fis'",66,0,24960,25344
"g'",67,0,25344,25536
"fis'",66,0,25536,25728
"g'",67,0,25728,25920
"b'",71,0,25920,26112
"a'",69,0,26112,26496
"fis'",66,0,26496,26880
"a'",69,0,27264,27456
"a'",69,0,27456,27648
"g'",67,0,27648,28032
"e'",64,0,28032,28416
"fis'",66,0,28416,28608
"e'",64,0,28608,28800
"d'",62,0,28800,28992
"e'",64,0,28992,29184
"fis'",66,0,29184,29952
"a'",69,0,30336,30528
"g'",67,0,30528,30720
"fis'",66,0,30720,31104
"fis'",66,0,31104,31488
"g'",67,0,31488,31680
"fis'",66,0,31680,31872
"g'",67,0,31872,32064
"a'",69,0,32064,32256
"b'",71,0,32256,33024
"cis''",73,0,33408,33600
"b'",71,0,33600,33792
"a'",69,0,33792,34176
"fis'",66,0,34176,34560
"e'",64,0,34560,34752
"a'",69,0,34752,34944
"g'",67,0,34944,35136
"e'",64,0,35136,35328
"d'",62,0,35328,36480
