"snippet","data_ref","x","y","tied_data_refs"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:49:4:5",10.536,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:49:10:11",14.067,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:49:16:17",17.496,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:49:22:23",21.591,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:49:28:29",25.25,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:49:32:33",28.901,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:49:36:37",32.663,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:49:40:41",36.092,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:49:46:47",40.283,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:49:58:59",55.193,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:49:64:65",58.468,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:49:70:71",61.897,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:49:76:77",65.915,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:49:82:83",68.798,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:49:86:87",71.501,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:49:90:91",73.93,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:49:96:97",76.395,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:50:4:5",80.586,15.289,""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:50:11:12",89.535,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:50:17:18",93.374,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:50:21:22",96.863,15.289,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:50:27:28",101.053,15.289,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:50:31:32",104.815,15.289,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:50:35:36",108.705,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:50:39:40",113.491,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:50:43:44",118.26,15.289,""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:50:47:48",122.756,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM224_NyatakanlahDalamHidupmu/GPM224_NyatakanlahDalamHidupmu_ly_data.ily:50:53:54",126.948,15.289,""
