"pitch","midi","channel","on_tick","off_tick"
"g",55,0,0,192
"g",55,0,192,384
"e'",64,0,384,768
"e'",64,0,768,1152
"f'",65,0,1152,1728
"a'",69,0,1728,1920
"g'",67,0,1920,2304
"g'",67,0,2304,3072
"c'",60,0,3072,3264
"c'",60,0,3264,3456
"d'",62,0,3456,4032
"e'",64,0,4032,4224
"f'",65,0,4224,4416
"g'",67,0,4416,4608
"d'",62,0,4608,4800
"f'",65,0,4800,4992
"f'",65,0,4992,5376
"e'",64,0,5376,5760
"g",55,0,6144,6336
"g",55,0,6336,6528
"e'",64,0,6528,6720
"e'",64,0,6720,6912
"e'",64,0,6912,7296
"f'",65,0,7296,7488
"e'",64,0,7488,7680
"f'",65,0,7680,7872
"a'",69,0,7872,8064
"g'",67,0,8064,8448
"g'",67,0,8448,9216
"e'",64,0,9216,9408
"g'",67,0,9408,9600
"g'",67,0,9600,9792
"f'",65,0,9792,10368
"d'",62,0,10368,10560
"e'",64,0,10560,10752
"f'",65,0,10752,10944
"b",59,0,10944,11136
"d'",62,0,11136,11328
"c'",60,0,11328,11904
"g'",67,0,12096,12288
"e'",64,0,12288,12480
"g'",67,0,12480,12672
"c''",72,0,12672,13248
"c''",72,0,13248,13440
"b'",71,0,13440,14016
"c''",72,0,14016,14208
"b'",71,0,14208,14592
"a'",69,0,14592,15168
"a",57,0,15168,15360
"a'",69,0,15360,15552
"c''",72,0,15552,15744
"b'",71,0,15744,16320
"b'",71,0,16320,16512
"b'",71,0,16512,16704
"c''",72,0,16704,16896
"b'",71,0,16896,17088
"a'",69,0,17088,17280
"a'",69,0,17280,17664
"g'",67,0,17664,18048
"g'",67,0,18240,18432
"a'",69,0,18432,18624
"e'",64,0,18624,18816
"g'",67,0,18816,19200
"g'",67,0,19200,19584
"g'",67,0,19584,19776
"a'",69,0,19776,19968
"a'",69,0,19968,20160
"g'",67,0,20160,20352
"f'",65,0,20352,20544
"f'",65,0,20544,20736
"a'",69,0,20736,21120
"a'",69,0,21312,21504
"c''",72,0,21504,21696
"a'",69,0,21696,21888
"b'",71,0,21888,22272
"b'",71,0,22272,22656
"b'",71,0,22656,23040
"a'",69,0,23040,23232
"b'",71,0,23232,23424
"c''",72,0,23424,24192
"g",55,0,24576,24768
"g",55,0,24768,24960
"e'",64,0,24960,25344
"e'",64,0,25344,25728
"f'",65,0,25728,26304
"a'",69,0,26304,26496
"g'",67,0,26496,26880
"g'",67,0,26880,27648
"c'",60,0,27648,27840
"c'",60,0,27840,28032
"d'",62,0,28032,28608
"e'",64,0,28608,28800
"f'",65,0,28800,28992
"g'",67,0,28992,29184
"d'",62,0,29184,29376
"f'",65,0,29376,29568
"f'",65,0,29568,29952
"e'",64,0,29952,30336
"g",55,0,30720,30912
"g",55,0,30912,31104
"e'",64,0,31104,31296
"e'",64,0,31296,31488
"e'",64,0,31488,31872
"f'",65,0,31872,32064
"e'",64,0,32064,32256
"f'",65,0,32256,32448
"a'",69,0,32448,32640
"g'",67,0,32640,33024
"g'",67,0,33024,33792
"e'",64,0,33792,33984
"g'",67,0,33984,34176
"g'",67,0,34176,34368
"f'",65,0,34368,34944
"d'",62,0,34944,35136
"e'",64,0,35136,35328
"f'",65,0,35328,35520
"b",59,0,35520,35712
"d'",62,0,35712,35904
"c'",60,0,35904,36480
"g'",67,0,36672,36864
"e'",64,0,36864,37056
"g'",67,0,37056,37248
"c''",72,0,37248,37824
"c''",72,0,37824,38016
"b'",71,0,38016,38592
"c''",72,0,38592,38784
"b'",71,0,38784,39168
"a'",69,0,39168,39744
"a",57,0,39744,39936
"a'",69,0,39936,40128
"c''",72,0,40128,40320
"b'",71,0,40320,40896
"b'",71,0,40896,41088
"b'",71,0,41088,41280
"c''",72,0,41280,41472
"b'",71,0,41472,41664
"a'",69,0,41664,41856
"a'",69,0,41856,42240
"g'",67,0,42240,42624
"g'",67,0,42816,43008
"a'",69,0,43008,43200
"e'",64,0,43200,43392
"g'",67,0,43392,43776
"g'",67,0,43776,44160
"g'",67,0,44160,44352
"a'",69,0,44352,44544
"a'",69,0,44544,44736
"g'",67,0,44736,44928
"f'",65,0,44928,45120
"f'",65,0,45120,45312
"a'",69,0,45312,45696
"a'",69,0,45888,46080
"c''",72,0,46080,46272
"a'",69,0,46272,46464
"b'",71,0,46464,46848
"b'",71,0,46848,47232
"b'",71,0,47232,47616
"a'",69,0,47616,47808
"b'",71,0,47808,48000
"c''",72,0,48000,48768
