"snippet","data_ref","x","y","tied_data_refs"
"g","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM240_AjarAnakMuYaBapa/GPM240_AjarAnakMuYaBapa_ly_data.ily:56:15:16",10.536,15.732,""
"g","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM240_AjarAnakMuYaBapa/GPM240_AjarAnakMuYaBapa_ly_data.ily:56:18:19",13.111,15.732,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM240_AjarAnakMuYaBapa/GPM240_AjarAnakMuYaBapa_ly_data.ily:56:23:24",17.302,15.732,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM240_AjarAnakMuYaBapa/GPM240_AjarAnakMuYaBapa_ly_data.ily:56:27:28",20.931,15.732,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM240_AjarAnakMuYaBapa/GPM240_AjarAnakMuYaBapa_ly_data.ily:56:31:32",24.56,15.732,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM240_AjarAnakMuYaBapa/GPM240_AjarAnakMuYaBapa_ly_data.ily:56:36:37",30.217,15.732,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM240_AjarAnakMuYaBapa/GPM240_AjarAnakMuYaBapa_ly_data.ily:56:42:43",34.408,15.732,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM240_AjarAnakMuYaBapa/GPM240_AjarAnakMuYaBapa_ly_data.ily:56:46:47",38.037,15.732,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM240_AjarAnakMuYaBapa/GPM240_AjarAnakMuYaBapa_ly_data.ily:57:4:5",44.786,15.732,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM240_AjarAnakMuYaBapa/GPM240_AjarAnakMuYaBapa_ly_data.ily:57:8:9",49.154,15.732,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM240_AjarAnakMuYaBapa/GPM240_AjarAnakMuYaBapa_ly_data.ily:57:14:15",53.345,15.732,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM240_AjarAnakMuYaBapa/GPM240_AjarAnakMuYaBapa_ly_data.ily:57:19:20",58.894,15.732,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM240_AjarAnakMuYaBapa/GPM240_AjarAnakMuYaBapa_ly_data.ily:57:23:24",63.536,15.732,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM240_AjarAnakMuYaBapa/GPM240_AjarAnakMuYaBapa_ly_data.ily:57:27:28",67.579,15.732,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM240_AjarAnakMuYaBapa/GPM240_AjarAnakMuYaBapa_ly_data.ily:57:31:32",72.673,15.732,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM240_AjarAnakMuYaBapa/GPM240_AjarAnakMuYaBapa_ly_data.ily:57:35:36",77.698,15.732,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM240_AjarAnakMuYaBapa/GPM240_AjarAnakMuYaBapa_ly_data.ily:57:41:42",81.888,15.732,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM240_AjarAnakMuYaBapa/GPM240_AjarAnakMuYaBapa_ly_data.ily:57:45:46",85.518,15.732,""
