"pitch","midi","channel","on_tick","off_tick"
"a'",69,0,0,384
"a'",69,0,384,960
"a'",69,0,960,1152
"ais'",70,0,1152,1344
"a'",69,0,1344,1536
"g'",67,0,1536,1728
"f'",65,0,1728,1920
"g'",67,0,1920,2496
"d'",62,0,2496,2688
"d'",62,0,2688,3072
"g'",67,0,3072,3456
"g'",67,0,3456,4032
"g'",67,0,4032,4224
"a'",69,0,4224,4416
"g'",67,0,4416,4608
"f'",65,0,4608,4800
"e'",64,0,4800,4992
"f'",65,0,4992,5568
"d'",62,0,5568,5760
"c'",60,0,5760,6144
"d'",62,0,6144,6528
"d'",62,0,6528,7104
"d'",62,0,7104,7296
"f'",65,0,7296,7488
"f'",65,0,7488,7680
"g'",67,0,7680,7872
"ais'",70,0,7872,8064
"a'",69,0,8064,8640
"g'",67,0,8640,8832
"f'",65,0,8832,9216
"ais'",70,0,9216,9408
"a'",69,0,9408,9600
"g'",67,0,9600,10176
"f'",65,0,10176,10368
"e'",64,0,10368,10560
"e'",64,0,10560,10752
"a'",69,0,10752,10944
"g'",67,0,10944,11136
"f'",65,0,11136,11904
"a'",69,0,12288,12672
"a'",69,0,12672,13248
"a'",69,0,13248,13440
"ais'",70,0,13440,13632
"a'",69,0,13632,13824
"g'",67,0,13824,14016
"f'",65,0,14016,14208
"g'",67,0,14208,14784
"d'",62,0,14784,14976
"d'",62,0,14976,15360
"g'",67,0,15360,15744
"g'",67,0,15744,16320
"g'",67,0,16320,16512
"a'",69,0,16512,16704
"g'",67,0,16704,16896
"f'",65,0,16896,17088
"e'",64,0,17088,17280
"f'",65,0,17280,17856
"d'",62,0,17856,18048
"c'",60,0,18048,18432
"d'",62,0,18432,18816
"d'",62,0,18816,19392
"d'",62,0,19392,19584
"f'",65,0,19584,19776
"f'",65,0,19776,19968
"g'",67,0,19968,20160
"ais'",70,0,20160,20352
"a'",69,0,20352,20928
"g'",67,0,20928,21120
"f'",65,0,21120,21504
"ais'",70,0,21504,21696
"a'",69,0,21696,21888
"g'",67,0,21888,22464
"f'",65,0,22464,22656
"e'",64,0,22656,22848
"e'",64,0,22848,23040
"a'",69,0,23040,23232
"g'",67,0,23232,23424
"f'",65,0,23424,24192
"a'",69,0,24576,24960
"a'",69,0,24960,25536
"a'",69,0,25536,25728
"ais'",70,0,25728,25920
"a'",69,0,25920,26112
"g'",67,0,26112,26304
"f'",65,0,26304,26496
"g'",67,0,26496,27072
"d'",62,0,27072,27264
"d'",62,0,27264,27648
"g'",67,0,27648,28032
"g'",67,0,28032,28608
"g'",67,0,28608,28800
"a'",69,0,28800,28992
"g'",67,0,28992,29184
"f'",65,0,29184,29376
"e'",64,0,29376,29568
"f'",65,0,29568,30144
"d'",62,0,30144,30336
"c'",60,0,30336,30720
"d'",62,0,30720,31104
"d'",62,0,31104,31680
"d'",62,0,31680,31872
"f'",65,0,31872,32064
"f'",65,0,32064,32256
"g'",67,0,32256,32448
"ais'",70,0,32448,32640
"a'",69,0,32640,33216
"g'",67,0,33216,33408
"f'",65,0,33408,33792
"ais'",70,0,33792,33984
"a'",69,0,33984,34176
"g'",67,0,34176,34752
"f'",65,0,34752,34944
"e'",64,0,34944,35136
"e'",64,0,35136,35328
"a'",69,0,35328,35520
"g'",67,0,35520,35712
"f'",65,0,35712,36480
