"snippet","data_ref","x","y","tied_data_refs"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:49:13:14",10.536,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:49:19:20",14.165,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:49:24:25",21.476,15.289,""
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:49:28:29",25.306,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:49:34:35",28.445,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:49:38:39",31.746,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:49:42:43",35.807,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:49:68:69",38.775,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:49:76:77",46.086,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:49:101:102",50.607,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:50:2:3",54.916,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:50:8:9",58.545,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:50:13:14",65.856,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:50:17:18",69.686,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:50:21:22",72.825,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:50:25:26",77.543,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:50:29:30",82.201,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:50:55:56",84.63,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:50:63:64",91.941,15.289,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:50:88:89",96.812,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:51:2:3",101.121,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:51:8:9",104.75,15.289,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:51:13:14",112.061,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:51:17:18",115.746,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:51:21:22",118.765,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:51:25:26",122.502,15.289,""
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:51:29:30",125.956,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:51:37:38",128.385,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:51:44:45",135.696,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:51:49:50",138.126,15.289,""
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:51:53:54",141.755,15.289,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:51:61:62",144.184,15.289,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:52:2:3",146.613,15.289,""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:52:7:8",153.924,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:52:11:12",156.892,15.289,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM257_TuhanKuMemerlukanMu/GPM257_TuhanKuMemerlukanMu_ly_data.ily:52:15:16",161.012,15.289,""
