"pitch","midi","channel","on_tick","off_tick"
"a'",69,0,0,384
"a'",69,0,384,768
"g'",67,0,768,1152
"fis'",66,0,1152,1920
"fis'",66,0,1920,2112
"fis'",66,0,2112,2304
"g'",67,0,2304,2688
"fis'",66,0,2688,3072
"g'",67,0,3072,3456
"a'",69,0,3456,4224
"a'",69,0,4608,4992
"a'",69,0,4992,5376
"g'",67,0,5376,5760
"fis'",66,0,5760,6528
"fis'",66,0,6528,6720
"e'",64,0,6720,6912
"d'",62,0,6912,7488
"e'",64,0,7488,7680
"fis'",66,0,7680,7872
"g'",67,0,7872,8064
"e'",64,0,8064,8832
"a'",69,0,9216,9600
"a'",69,0,9600,9984
"g'",67,0,9984,10368
"fis'",66,0,10368,11136
"fis'",66,0,11136,11328
"fis'",66,0,11328,11520
"g'",67,0,11520,11904
"a'",69,0,11904,12288
"b'",71,0,12288,12672
"a'",69,0,12672,13440
"fis'",66,0,13824,14208
"fis'",66,0,14208,14592
"fis'",66,0,14592,14976
"fis'",66,0,14976,15744
"fis'",66,0,15744,15936
"fis'",66,0,15936,16128
"e'",64,0,16128,16704
"fis'",66,0,16704,16896
"g'",67,0,16896,17088
"e'",64,0,17088,17280
"d'",62,0,17280,18048
"e'",64,0,18432,18816
"e'",64,0,18816,19200
"e'",64,0,19200,19584
"e'",64,0,19584,19968
"d'",62,0,19968,20352
"e'",64,0,20352,20736
"fis'",66,0,20736,21120
"a'",69,0,21120,21504
"b'",71,0,21504,21888
"a'",69,0,21888,22656
"e'",64,0,23040,23424
"e'",64,0,23424,23808
"e'",64,0,23808,24192
"e'",64,0,24192,24576
"g'",67,0,24576,24960
"g'",67,0,24960,25344
"g'",67,0,25344,25920
"fis'",66,0,25920,26112
"e'",64,0,26112,26496
"fis'",66,0,26496,27264
"a'",69,0,27648,28032
"a'",69,0,28032,28416
"g'",67,0,28416,28800
"fis'",66,0,28800,29184
"fis'",66,0,29184,29376
"fis'",66,0,29376,29568
"fis'",66,0,29568,29952
"fis'",66,0,29952,30528
"fis'",66,0,30528,30720
"g'",67,0,30720,30912
"a'",69,0,30912,31104
"b'",71,0,31104,31872
"b'",71,0,32256,32640
"b'",71,0,32640,33024
"b'",71,0,33024,33408
"a'",69,0,33408,33792
"fis'",66,0,33792,34368
"a'",69,0,34368,34560
"a'",69,0,34560,34944
"g'",67,0,34944,35328
"e'",64,0,35328,35712
"d'",62,0,35712,36480
