"snippet","data_ref","x","y","bar","bar_moment"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM268_YaTuhanKu/GPM268_YaTuhanKu_ly_data.ily:43:4:5",10.536,12.736,1.0,"0"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM268_YaTuhanKu/GPM268_YaTuhanKu_ly_data.ily:43:8:9",14.059,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM268_YaTuhanKu/GPM268_YaTuhanKu_ly_data.ily:43:12:13",17.949,12.736,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM268_YaTuhanKu/GPM268_YaTuhanKu_ly_data.ily:44:4:5",22.637,12.736,2.0,"3/4"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM268_YaTuhanKu/GPM268_YaTuhanKu_ly_data.ily:44:10:11",28.55,12.736,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM268_YaTuhanKu/GPM268_YaTuhanKu_ly_data.ily:44:16:17",33.302,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM268_YaTuhanKu/GPM268_YaTuhanKu_ly_data.ily:45:4:5",37.093,12.736,3.0,"3/2"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM268_YaTuhanKu/GPM268_YaTuhanKu_ly_data.ily:45:8:9",41.614,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM268_YaTuhanKu/GPM268_YaTuhanKu_ly_data.ily:45:14:15",46.034,12.736,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM268_YaTuhanKu/GPM268_YaTuhanKu_ly_data.ily:46:4:5",50.722,12.736,4.0,"9/4"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM268_YaTuhanKu/GPM268_YaTuhanKu_ly_data.ily:47:4:5",60.406,12.736,5.0,"3"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM268_YaTuhanKu/GPM268_YaTuhanKu_ly_data.ily:47:8:9",63.929,12.736,"",""
