"pitch","midi","channel","on_tick","off_tick"
"e'",64,0,192,384
"e'",64,0,384,576
"f'",65,0,576,768
"g'",67,0,768,960
"g'",67,0,960,1152
"g'",67,0,1152,1344
"g'",67,0,1344,1536
"f'",65,0,1536,1728
"e'",64,0,1728,1920
"d'",62,0,1920,2112
"f'",65,0,2112,2304
"e'",64,0,2304,3072
"c'",60,0,3264,3456
"c''",72,0,3456,3648
"b'",71,0,3648,3840
"a'",69,0,3840,4032
"a'",69,0,4032,4224
"a'",69,0,4224,4416
"a'",69,0,4416,4608
"g'",67,0,4608,4800
"g'",67,0,4800,4992
"a'",69,0,4992,5184
"c''",72,0,5184,5376
"g'",67,0,5376,6144
"c'",60,0,6336,6528
"c'",60,0,6528,6720
"c'",60,0,6720,6912
"f'",65,0,6912,7104
"a'",69,0,7104,7296
"a'",69,0,7296,7488
"a'",69,0,7488,7680
"b'",71,0,7680,7872
"a'",69,0,7872,8256
"g'",67,0,8256,8448
"a'",69,0,8448,9216
"c'",60,0,9408,9600
"c'",60,0,9600,9792
"c'",60,0,9792,9984
"f'",65,0,9984,10176
"a'",69,0,10176,10368
"a'",69,0,10368,10560
"a'",69,0,10560,10752
"b'",71,0,10752,10944
"a'",69,0,10944,11328
"b'",71,0,11328,11520
"c''",72,0,11520,12288
"e'",64,0,12480,12672
"e'",64,0,12672,12864
"f'",65,0,12864,13056
"g'",67,0,13056,13248
"g'",67,0,13248,13440
"g'",67,0,13440,13632
"g'",67,0,13632,13824
"f'",65,0,13824,14016
"e'",64,0,14016,14208
"d'",62,0,14208,14400
"f'",65,0,14400,14592
"e'",64,0,14592,15360
"c'",60,0,15552,15744
"c''",72,0,15744,15936
"b'",71,0,15936,16128
"a'",69,0,16128,16320
"a'",69,0,16320,16512
"a'",69,0,16512,16704
"a'",69,0,16704,16896
"g'",67,0,16896,17088
"g'",67,0,17088,17280
"a'",69,0,17280,17472
"c''",72,0,17472,17664
"g'",67,0,17664,18432
"c'",60,0,18624,18816
"c'",60,0,18816,19008
"c'",60,0,19008,19200
"f'",65,0,19200,19392
"a'",69,0,19392,19584
"a'",69,0,19584,19776
"a'",69,0,19776,19968
"b'",71,0,19968,20160
"a'",69,0,20160,20544
"g'",67,0,20544,20736
"a'",69,0,20736,21504
"c'",60,0,21696,21888
"c'",60,0,21888,22080
"c'",60,0,22080,22272
"f'",65,0,22272,22464
"a'",69,0,22464,22656
"a'",69,0,22656,22848
"a'",69,0,22848,23040
"b'",71,0,23040,23232
"a'",69,0,23232,23616
"b'",71,0,23616,23808
"c''",72,0,23808,24576
