"snippet","data_ref","x","y","bar","bar_moment"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM270_BersukacitalahDalamPengharapan/GPM270_BersukacitalahDalamPengharapan_ly_data.ily:50:16:17",12.736,15.289,0.0,"0"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM270_BersukacitalahDalamPengharapan/GPM270_BersukacitalahDalamPengharapan_ly_data.ily:50:20:21",16.199,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM270_BersukacitalahDalamPengharapan/GPM270_BersukacitalahDalamPengharapan_ly_data.ily:50:24:25",19.03,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM270_BersukacitalahDalamPengharapan/GPM270_BersukacitalahDalamPengharapan_ly_data.ily:50:30:31",23.221,15.289,1.0,"1/2"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM270_BersukacitalahDalamPengharapan/GPM270_BersukacitalahDalamPengharapan_ly_data.ily:50:34:35",25.65,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM270_BersukacitalahDalamPengharapan/GPM270_BersukacitalahDalamPengharapan_ly_data.ily:50:38:39",28.738,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM270_BersukacitalahDalamPengharapan/GPM270_BersukacitalahDalamPengharapan_ly_data.ily:50:42:43",32.397,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM270_BersukacitalahDalamPengharapan/GPM270_BersukacitalahDalamPengharapan_ly_data.ily:50:46:47",36.048,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM270_BersukacitalahDalamPengharapan/GPM270_BersukacitalahDalamPengharapan_ly_data.ily:50:50:51",41.415,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM270_BersukacitalahDalamPengharapan/GPM270_BersukacitalahDalamPengharapan_ly_data.ily:50:54:55",45.697,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM270_BersukacitalahDalamPengharapan/GPM270_BersukacitalahDalamPengharapan_ly_data.ily:50:58:59",48.46,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM270_BersukacitalahDalamPengharapan/GPM270_BersukacitalahDalamPengharapan_ly_data.ily:50:64:65",52.651,15.289,2.0,"3/2"
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM270_BersukacitalahDalamPengharapan/GPM270_BersukacitalahDalamPengharapan_ly_data.ily:51:5:6",61.601,15.289,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM270_BersukacitalahDalamPengharapan/GPM270_BersukacitalahDalamPengharapan_ly_data.ily:51:9:10",64.978,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM270_BersukacitalahDalamPengharapan/GPM270_BersukacitalahDalamPengharapan_ly_data.ily:51:14:15",69.15,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM270_BersukacitalahDalamPengharapan/GPM270_BersukacitalahDalamPengharapan_ly_data.ily:51:20:21",73.372,15.289,3.0,"5/2"
