"pitch","midi","channel","on_tick","off_tick"
"cis''",73,0,0,384
"cis''",73,0,384,768
"d''",74,0,768,960
"cis''",73,0,960,1344
"b'",71,0,1344,1536
"a'",69,0,1536,2304
"a'",69,0,2688,2880
"a'",69,0,2880,3072
"a'",69,0,3072,3648
"a'",69,0,3648,3840
"a'",69,0,3840,4032
"a'",69,0,4032,4224
"gis'",68,0,4224,4416
"a'",69,0,4416,4608
"b'",71,0,4608,5376
"cis''",73,0,5760,5952
"cis''",73,0,5952,6144
"cis''",73,0,6144,6720
"cis''",73,0,6720,6912
"b'",71,0,6912,7296
"a'",69,0,7296,7680
"fis'",66,0,7680,8448
"a'",69,0,8832,9024
"fis'",66,0,9024,9216
"e'",64,0,9216,9792
"a'",69,0,9792,9984
"gis'",68,0,9984,10368
"b'",71,0,10368,10752
"a'",69,0,10752,11904
"b'",71,0,12288,12480
"b'",71,0,12480,12672
"b'",71,0,12672,12864
"b'",71,0,12864,13056
"b'",71,0,13056,13248
"a'",69,0,13248,13440
"gis'",68,0,13440,13632
"fis'",66,0,13632,13824
"e'",64,0,13824,14208
"a'",69,0,14208,14592
"a'",69,0,14592,14976
"cis''",73,0,15168,15360
"b'",71,0,15360,15552
"b'",71,0,15552,15744
"b'",71,0,15744,15936
"b'",71,0,15936,16128
"b'",71,0,16128,16320
"gis'",68,0,16320,16512
"a'",69,0,16512,16704
"b'",71,0,16704,16896
"cis''",73,0,16896,17664
"a'",69,0,18048,18240
"gis'",68,0,18240,18432
"fis'",66,0,18432,18624
"fis'",66,0,18624,18816
"fis'",66,0,18816,19008
"a'",69,0,19008,19200
"d''",74,0,19200,19392
"d''",74,0,19392,19584
"cis''",73,0,19584,19776
"b'",71,0,19776,19968
"a'",69,0,19968,20352
"e'",64,0,20352,20736
"b'",71,0,21120,21312
"a'",69,0,21312,21504
"gis'",68,0,21504,21696
"gis'",68,0,21696,22080
"gis'",68,0,22080,22272
"a'",69,0,22272,22464
"gis'",68,0,22464,22656
"fis'",66,0,22656,22848
"gis'",68,0,22848,23040
"a'",69,0,23040,24192
"cis''",73,0,24576,24960
"cis''",73,0,24960,25344
"d''",74,0,25344,25536
"cis''",73,0,25536,25920
"b'",71,0,25920,26112
"a'",69,0,26112,26880
"a'",69,0,27264,27456
"a'",69,0,27456,27648
"a'",69,0,27648,28224
"a'",69,0,28224,28416
"a'",69,0,28416,28608
"a'",69,0,28608,28800
"gis'",68,0,28800,28992
"a'",69,0,28992,29184
"b'",71,0,29184,29952
"cis''",73,0,30336,30528
"cis''",73,0,30528,30720
"cis''",73,0,30720,31296
"cis''",73,0,31296,31488
"b'",71,0,31488,31872
"a'",69,0,31872,32256
"fis'",66,0,32256,33024
"a'",69,0,33408,33600
"fis'",66,0,33600,33792
"e'",64,0,33792,34368
"a'",69,0,34368,34560
"gis'",68,0,34560,34944
"b'",71,0,34944,35328
"a'",69,0,35328,36480
"b'",71,0,36864,37056
"b'",71,0,37056,37248
"b'",71,0,37248,37440
"b'",71,0,37440,37632
"b'",71,0,37632,37824
"a'",69,0,37824,38016
"gis'",68,0,38016,38208
"fis'",66,0,38208,38400
"e'",64,0,38400,38784
"a'",69,0,38784,39168
"a'",69,0,39168,39552
"cis''",73,0,39744,39936
"b'",71,0,39936,40128
"b'",71,0,40128,40320
"b'",71,0,40320,40512
"b'",71,0,40512,40704
"b'",71,0,40704,40896
"gis'",68,0,40896,41088
"a'",69,0,41088,41280
"b'",71,0,41280,41472
"cis''",73,0,41472,42240
"a'",69,0,42624,42816
"gis'",68,0,42816,43008
"fis'",66,0,43008,43200
"fis'",66,0,43200,43392
"fis'",66,0,43392,43584
"a'",69,0,43584,43776
"d''",74,0,43776,43968
"d''",74,0,43968,44160
"cis''",73,0,44160,44352
"b'",71,0,44352,44544
"a'",69,0,44544,44928
"e'",64,0,44928,45312
"b'",71,0,45696,45888
"a'",69,0,45888,46080
"gis'",68,0,46080,46272
"gis'",68,0,46272,46656
"gis'",68,0,46656,46848
"a'",69,0,46848,47040
"gis'",68,0,47040,47232
"fis'",66,0,47232,47424
"gis'",68,0,47424,47616
"a'",69,0,47616,48768
