"snippet","data_ref","x","y","bar","bar_moment"
"cis''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM279_HasilOrangBenar/GPM279_HasilOrangBenar_ly_data.ily:51:2:3",10.536,15.289,1.0,"0"
"cis''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM279_HasilOrangBenar/GPM279_HasilOrangBenar_ly_data.ily:51:9:10",14.165,15.289,"",""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM279_HasilOrangBenar/GPM279_HasilOrangBenar_ly_data.ily:51:16:17",17.794,15.289,"",""
"cis''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM279_HasilOrangBenar/GPM279_HasilOrangBenar_ly_data.ily:51:21:22",20.223,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM279_HasilOrangBenar/GPM279_HasilOrangBenar_ly_data.ily:51:28:29",26.648,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM279_HasilOrangBenar/GPM279_HasilOrangBenar_ly_data.ily:51:34:35",30.839,15.289,2.0,"1"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM279_HasilOrangBenar/GPM279_HasilOrangBenar_ly_data.ily:51:41:42",40.939,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM279_HasilOrangBenar/GPM279_HasilOrangBenar_ly_data.ily:51:45:46",43.368,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM279_HasilOrangBenar/GPM279_HasilOrangBenar_ly_data.ily:52:2:3",47.558,15.289,3.0,"2"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM279_HasilOrangBenar/GPM279_HasilOrangBenar_ly_data.ily:52:7:8",53.108,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM279_HasilOrangBenar/GPM279_HasilOrangBenar_ly_data.ily:52:11:12",56.656,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM279_HasilOrangBenar/GPM279_HasilOrangBenar_ly_data.ily:52:15:16",60.555,15.289,"",""
"gis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM279_HasilOrangBenar/GPM279_HasilOrangBenar_ly_data.ily:52:19:20",63.13,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM279_HasilOrangBenar/GPM279_HasilOrangBenar_ly_data.ily:52:25:26",65.842,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM279_HasilOrangBenar/GPM279_HasilOrangBenar_ly_data.ily:52:31:32",70.033,15.289,4.0,"3"
