"pitch","midi","channel","on_tick","off_tick"
"e'",64,0,0,192
"e'",64,0,192,384
"e'",64,0,384,576
"e'",64,0,576,768
"e'",64,0,768,960
"e'",64,0,960,1152
"g'",67,0,1152,1344
"g'",67,0,1344,1440
"f'",65,0,1440,1536
"e'",64,0,1536,2112
"e'",64,0,2112,2208
"d'",62,0,2208,2304
"e'",64,0,2304,3072
"d'",62,0,3072,3264
"d'",62,0,3264,3456
"d'",62,0,3456,3648
"d'",62,0,3648,3840
"e'",64,0,3840,4032
"d'",62,0,4032,4224
"c'",60,0,4224,4416
"d'",62,0,4416,4608
"e'",64,0,4608,5184
"f'",65,0,5184,5280
"e'",64,0,5280,5376
"d'",62,0,5376,5760
"e'",64,0,6144,6336
"e'",64,0,6336,6528
"e'",64,0,6528,6720
"e'",64,0,6720,6912
"e'",64,0,6912,7104
"e'",64,0,7104,7296
"g'",67,0,7296,7488
"g'",67,0,7488,7584
"f'",65,0,7584,7680
"e'",64,0,7680,8256
"e'",64,0,8256,8352
"d'",62,0,8352,8448
"e'",64,0,8448,9216
"d'",62,0,9216,9408
"d'",62,0,9408,9600
"d'",62,0,9600,9792
"d'",62,0,9792,9984
"e'",64,0,9984,10176
"d'",62,0,10176,10368
"e'",64,0,10368,10560
"e'",64,0,10560,10656
"d'",62,0,10656,10752
"c'",60,0,10752,11904
"c''",72,0,12288,12480
"c''",72,0,12480,12672
"c''",72,0,12672,12864
"c''",72,0,12864,13056
"c''",72,0,13056,13248
"c''",72,0,13248,13440
"c''",72,0,13440,13536
"c''",72,0,13536,13632
"c''",72,0,13632,13728
"c''",72,0,13728,13824
"a'",69,0,13824,14016
"a'",69,0,14016,14400
"a'",69,0,14400,14496
"g'",67,0,14496,14592
"a'",69,0,14592,15360
"a'",69,0,15360,15552
"a'",69,0,15552,15744
"a'",69,0,15744,15936
"a'",69,0,15936,16128
"g'",67,0,16128,16320
"g'",67,0,16320,16512
"g'",67,0,16512,16704
"a'",69,0,16704,16800
"g'",67,0,16800,16896
"g'",67,0,16896,18048
"c''",72,0,18432,18624
"c''",72,0,18624,18816
"c''",72,0,18816,19008
"c''",72,0,19008,19200
"c''",72,0,19200,19392
"c''",72,0,19392,19584
"c''",72,0,19584,19680
"c''",72,0,19680,19776
"c''",72,0,19776,19872
"c''",72,0,19872,19968
"a'",69,0,19968,20160
"a'",69,0,20160,20544
"a'",69,0,20544,20640
"g'",67,0,20640,20736
"a'",69,0,20736,21504
"a'",69,0,21504,21696
"a'",69,0,21696,21888
"a'",69,0,21888,22080
"a'",69,0,22080,22272
"g'",67,0,22272,22464
"g'",67,0,22464,22656
"g'",67,0,22656,22848
"a'",69,0,22848,22944
"g'",67,0,22944,23040
"g'",67,0,23040,24192
"e'",64,0,24576,24768
"e'",64,0,24768,24960
"e'",64,0,24960,25152
"e'",64,0,25152,25344
"e'",64,0,25344,25536
"e'",64,0,25536,25728
"g'",67,0,25728,25920
"g'",67,0,25920,26016
"f'",65,0,26016,26112
"e'",64,0,26112,26688
"e'",64,0,26688,26784
"d'",62,0,26784,26880
"e'",64,0,26880,27648
"d'",62,0,27648,27840
"d'",62,0,27840,28032
"d'",62,0,28032,28224
"d'",62,0,28224,28416
"e'",64,0,28416,28608
"d'",62,0,28608,28800
"e'",64,0,28800,28992
"e'",64,0,28992,29088
"d'",62,0,29088,29184
"c'",60,0,29184,30720
