"snippet","data_ref","x","y","bar","bar_moment"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:51:4:5",10.536,15.289,1.0,"0"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:51:8:9",14.165,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:51:12:13",18.046,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:51:16:17",21.697,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:51:20:21",25.92,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:51:24:25",29.81,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:51:28:29",33.845,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:51:32:33",37.474,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:51:39:40",39.903,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:51:47:48",44.094,15.289,2.0,"1"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:51:52:53",52.044,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:51:59:60",54.473,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:51:65:66",56.902,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:52:4:5",67.742,15.289,3.0,"2"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:52:8:9",71.371,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:52:12:13",75.0,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:52:16:17",78.629,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:52:20:21",82.258,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:52:24:25",85.887,15.289,"",""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:52:28:29",89.517,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:52:32:33",93.146,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:52:38:39",98.536,15.289,4.0,"3"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:52:43:44",106.486,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:52:50:51",109.63,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:52:56:57",112.774,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:53:4:5",123.844,15.289,5.0,"4"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:53:8:9",127.478,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:53:12:13",132.673,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:53:16:17",137.118,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:53:20:21",141.315,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:53:24:25",146.187,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:53:28:29",149.816,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:53:32:33",153.445,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:53:39:40",155.874,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:53:47:48",160.065,15.289,6.0,"5"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:53:52:53",168.015,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:53:59:60",170.444,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:53:65:66",172.873,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:54:4:5",183.713,15.289,7.0,"6"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:54:8:9",187.342,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:54:12:13",191.667,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:54:16:17",195.296,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:54:20:21",198.925,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:54:24:25",203.157,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:54:28:29",208.216,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:54:32:33",211.845,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:54:39:40",214.274,15.289,"",""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:54:47:48",218.465,15.289,8.0,"7"
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:56:4:5",238.175,15.289,9.0,"8"
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:56:9:10",242.082,15.289,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:56:14:15",246.015,15.289,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:56:19:20",249.644,15.289,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:56:24:25",253.273,15.289,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:56:29:30",257.248,15.289,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:56:34:35",261.676,15.289,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:56:40:41",264.32,15.289,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:56:46:47",267.962,15.289,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM280_HidopDalamTuhan/GPM280_HidopDalamTuhan_ly_data.ily:56:52:53",270.606,15.289,"",""
