"pitch","midi","channel","on_tick","off_tick"
"b'",71,0,0,768
"a'",69,0,768,1152
"g'",67,0,1152,1536
"d''",74,0,1536,2304
"b'",71,0,2304,2688
"g'",67,0,3072,3264
"g'",67,0,3264,3456
"g'",67,0,3456,3648
"a'",69,0,3648,3840
"b'",71,0,3840,4224
"a'",69,0,4224,4416
"g'",67,0,4416,4608
"a'",69,0,4608,4992
"b'",71,0,4992,5376
"a'",69,0,5376,5760
"b'",71,0,6144,6912
"a'",69,0,6912,7296
"g'",67,0,7296,7680
"d''",74,0,7680,8448
"b'",71,0,8448,8832
"g'",67,0,9216,9408
"g'",67,0,9408,9600
"g'",67,0,9600,9792
"a'",69,0,9792,9984
"b'",71,0,9984,10368
"c''",72,0,10368,10560
"b'",71,0,10560,10752
"a'",69,0,10752,11136
"b'",71,0,11136,11520
"g'",67,0,11520,11904
"fis'",66,0,12288,12480
"e'",64,0,12480,12672
"fis'",66,0,12672,12864
"g'",67,0,12864,13056
"a'",69,0,13056,13440
"fis'",66,0,13440,13824
"g'",67,0,13824,14016
"fis'",66,0,14016,14208
"g'",67,0,14208,14400
"a'",69,0,14400,14592
"b'",71,0,14592,14976
"g'",67,0,14976,15360
"fis'",66,0,15360,15552
"e'",64,0,15552,15744
"fis'",66,0,15744,15936
"g'",67,0,15936,16128
"a'",69,0,16128,16320
"fis'",66,0,16320,16512
"e'",64,0,16512,16704
"d'",62,0,16704,16896
"c''",72,0,16896,17472
"b'",71,0,17472,17664
"b'",71,0,17664,18048
"fis'",66,0,18432,18624
"e'",64,0,18624,18816
"fis'",66,0,18816,19008
"g'",67,0,19008,19200
"a'",69,0,19200,19584
"fis'",66,0,19584,19968
"g'",67,0,19968,20160
"fis'",66,0,20160,20352
"g'",67,0,20352,20544
"a'",69,0,20544,20736
"b'",71,0,20736,21120
"g'",67,0,21120,21504
"a'",69,0,21504,21696
"a'",69,0,21696,21888
"a'",69,0,21888,22080
"b'",71,0,22080,22272
"a'",69,0,22272,22464
"g'",67,0,22464,22656
"fis'",66,0,22656,22848
"e'",64,0,22848,23040
"d'",62,0,23040,23808
"d'",62,0,23808,24192
"b'",71,0,24576,25344
"a'",69,0,25344,25728
"g'",67,0,25728,26112
"d''",74,0,26112,26880
"b'",71,0,26880,27264
"g'",67,0,27648,27840
"g'",67,0,27840,28032
"g'",67,0,28032,28224
"a'",69,0,28224,28416
"b'",71,0,28416,28800
"c''",72,0,28800,28992
"a'",69,0,28992,29184
"g'",67,0,29184,29568
"fis'",66,0,29568,29952
"g'",67,0,29952,30336
"b'",71,0,30720,31488
"a'",69,0,31488,31872
"g'",67,0,31872,32256
"d''",74,0,32256,33024
"b'",71,0,33024,33408
"g'",67,0,33792,33984
"g'",67,0,33984,34176
"g'",67,0,34176,34368
"a'",69,0,34368,34560
"b'",71,0,34560,34944
"a'",69,0,34944,35136
"g'",67,0,35136,35328
"a'",69,0,35328,35712
"b'",71,0,35712,36096
"a'",69,0,36096,36480
"b'",71,0,36864,37632
"a'",69,0,37632,38016
"g'",67,0,38016,38400
"d''",74,0,38400,39168
"b'",71,0,39168,39552
"g'",67,0,39936,40128
"g'",67,0,40128,40320
"g'",67,0,40320,40512
"a'",69,0,40512,40704
"b'",71,0,40704,41088
"c''",72,0,41088,41280
"b'",71,0,41280,41472
"a'",69,0,41472,41856
"b'",71,0,41856,42240
"g'",67,0,42240,42624
"fis'",66,0,43008,43200
"e'",64,0,43200,43392
"fis'",66,0,43392,43584
"g'",67,0,43584,43776
"a'",69,0,43776,44160
"fis'",66,0,44160,44544
"g'",67,0,44544,44736
"fis'",66,0,44736,44928
"g'",67,0,44928,45120
"a'",69,0,45120,45312
"b'",71,0,45312,45696
"g'",67,0,45696,46080
"fis'",66,0,46080,46272
"e'",64,0,46272,46464
"fis'",66,0,46464,46656
"g'",67,0,46656,46848
"a'",69,0,46848,47040
"fis'",66,0,47040,47232
"e'",64,0,47232,47424
"d'",62,0,47424,47616
"c''",72,0,47616,48192
"b'",71,0,48192,48384
"b'",71,0,48384,48768
"fis'",66,0,49152,49344
"e'",64,0,49344,49536
"fis'",66,0,49536,49728
"g'",67,0,49728,49920
"a'",69,0,49920,50304
"fis'",66,0,50304,50688
"g'",67,0,50688,50880
"fis'",66,0,50880,51072
"g'",67,0,51072,51264
"a'",69,0,51264,51456
"b'",71,0,51456,51840
"g'",67,0,51840,52224
"a'",69,0,52224,52416
"a'",69,0,52416,52608
"a'",69,0,52608,52800
"b'",71,0,52800,52992
"a'",69,0,52992,53184
"g'",67,0,53184,53376
"fis'",66,0,53376,53568
"e'",64,0,53568,53760
"d'",62,0,53760,54528
"d'",62,0,54528,54912
"b'",71,0,55296,56064
"a'",69,0,56064,56448
"g'",67,0,56448,56832
"d''",74,0,56832,57600
"b'",71,0,57600,57984
"g'",67,0,58368,58560
"g'",67,0,58560,58752
"g'",67,0,58752,58944
"a'",69,0,58944,59136
"b'",71,0,59136,59520
"c''",72,0,59520,59712
"a'",69,0,59712,59904
"g'",67,0,59904,60288
"fis'",66,0,60288,60672
"g'",67,0,60672,61056
