"snippet","data_ref","x","y","bar","bar_moment"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:48:2:3",10.536,15.289,1.0,"0"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:48:6:7",17.286,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:48:10:11",21.073,15.289,"",""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:48:16:17",26.464,15.289,2.0,"1"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:48:21:22",33.213,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:48:30:31",41.882,15.289,3.0,"2"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:48:34:35",44.312,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:48:38:39",46.741,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:48:42:43",49.17,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:48:46:47",51.599,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:48:50:51",55.228,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:48:54:55",58.879,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:48:60:61",63.07,15.289,4.0,"3"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:48:64:65",66.699,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:48:68:69",70.328,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:49:2:3",78.997,15.289,5.0,"4"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:49:6:7",85.747,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:49:10:11",89.466,15.289,"",""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:49:16:17",94.857,15.289,6.0,"5"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:49:21:22",101.606,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:49:30:31",110.275,15.289,7.0,"6"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM281_NamaMuYesus/GPM281_NamaMuYesus_ly_data.ily:49:34:35",112.704,15.289,"",""
