"pitch","midi","channel","on_tick","off_tick"
"c'",60,0,0,384
"a'",69,0,384,768
"a'",69,0,768,1152
"ais'",70,0,1152,1344
"g'",67,0,1344,1536
"f'",65,0,1536,1920
"f'",65,0,1920,2304
"a'",69,0,2304,2688
"c''",72,0,2688,3456
"ais'",70,0,3456,3840
"a'",69,0,3840,4224
"c'",60,0,4608,4992
"a'",69,0,4992,5376
"a'",69,0,5376,5760
"ais'",70,0,5760,5952
"g'",67,0,5952,6144
"f'",65,0,6144,6528
"f'",65,0,6528,6912
"f'",65,0,6912,7296
"g'",67,0,7296,8064
"a'",69,0,8064,8448
"g'",67,0,8448,8832
"a'",69,0,9216,9600
"ais'",70,0,9600,9984
"ais'",70,0,9984,10368
"ais'",70,0,10368,10560
"a'",69,0,10560,10752
"g'",67,0,10752,11136
"g'",67,0,11136,11520
"g'",67,0,11520,11904
"a'",69,0,11904,12288
"a'",69,0,12288,12672
"g'",67,0,12672,13056
"f'",65,0,13056,13440
"f'",65,0,13824,14208
"g'",67,0,14208,14592
"g'",67,0,14592,14976
"g'",67,0,14976,15168
"f'",65,0,15168,15360
"e'",64,0,15360,15744
"e'",64,0,15744,16128
"e'",64,0,16128,16512
"e'",64,0,16512,16896
"d'",62,0,16896,17280
"e'",64,0,17280,17664
"f'",65,0,17664,18048
"a'",69,0,18432,18816
"c''",72,0,18816,19200
"c''",72,0,19200,19584
"c''",72,0,19584,19776
"ais'",70,0,19776,19968
"a'",69,0,19968,20352
"a'",69,0,20352,20736
"a'",69,0,20736,21120
"a'",69,0,21120,21504
"g'",67,0,21504,21888
"f'",65,0,21888,22272
"g'",67,0,22272,22656
"a'",69,0,23040,23424
"ais'",70,0,23424,23808
"ais'",70,0,23808,24192
"ais'",70,0,24192,24384
"a'",69,0,24384,24576
"g'",67,0,24576,24960
"g'",67,0,24960,25344
"g'",67,0,25344,25728
"g'",67,0,25728,26112
"f'",65,0,26112,26496
"g'",67,0,26496,26880
"a'",69,0,26880,27264
"a'",69,0,27648,28032
"c''",72,0,28032,28416
"c''",72,0,28416,28800
"c''",72,0,28800,28992
"ais'",70,0,28992,29184
"a'",69,0,29184,29568
"a'",69,0,29568,29952
"a'",69,0,29952,30336
"a'",69,0,30336,30720
"ais'",70,0,30720,31104
"c''",72,0,31104,31488
"ais'",70,0,31488,31872
"ais'",70,0,32256,32640
"a'",69,0,32640,33024
"f'",65,0,33024,33408
"a'",69,0,33408,33792
"g'",67,0,33792,34176
"f'",65,0,34176,34560
"e'",64,0,34560,34944
"f'",65,0,34944,36480
