"snippet","data_ref","x","y","bar","bar_moment"
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:45:15:16",10.536,12.736,0.0,"0"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:45:21:22",15.224,12.736,1.0,"1/4"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:45:25:26",18.152,12.736,"",""
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:45:29:30",21.231,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:45:35:36",24.045,12.736,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:45:41:42",27.836,12.736,2.0,"1"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:45:45:46",31.35,12.736,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:45:49:50",35.01,12.736,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:45:55:56",39.698,12.736,3.0,"7/4"
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:45:60:61",45.671,12.736,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:45:68:69",50.359,12.736,4.0,"5/2"
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:46:4:5",55.935,12.736,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:46:10:11",60.623,12.736,5.0,"13/4"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:46:14:15",63.55,12.736,"",""
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:46:18:19",66.63,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:46:24:25",69.444,12.736,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:46:30:31",73.234,12.736,6.0,"4"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:46:34:35",76.749,12.736,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:46:38:39",80.784,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:46:44:45",85.472,12.736,7.0,"19/4"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:46:48:49",90.818,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:46:54:55",95.507,12.736,8.0,"11/2"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:47:4:5",101.082,12.736,"",""
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:47:10:11",105.771,12.736,9.0,"25/4"
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:47:16:17",109.661,12.736,"",""
"bes'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:47:22:23",115.215,12.736,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:47:28:29",119.574,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:47:34:35",123.366,12.736,10.0,"7"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:47:38:39",126.293,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:47:42:43",130.362,12.736,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:47:48:49",135.051,12.736,11.0,"31/4"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:47:52:53",138.275,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:47:56:57",142.139,12.736,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:47:62:63",146.828,12.736,12.0,"17/2"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:48:4:5",152.403,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:48:10:11",157.092,12.736,13.0,"37/4"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:48:14:15",160.019,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:48:18:19",162.946,12.736,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:48:22:23",165.701,12.736,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:48:28:29",169.492,12.736,14.0,"10"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:48:32:33",172.419,12.736,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:48:36:37",176.146,12.736,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:48:42:43",180.835,12.736,15.0,"43/4"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM282_SelaluKuRasakan/GPM282_SelaluKuRasakan_ly_data.ily:48:46:47",185.297,12.736,"",""
