"pitch","midi","channel","on_tick","off_tick"
"g'",67,0,768,1344
"a'",69,0,1344,1536
"g'",67,0,1536,3072
"c''",72,0,3456,3648
"b'",71,0,3648,3840
"a'",69,0,3840,4224
"c''",72,0,4224,4608
"g'",67,0,4608,5184
"f'",65,0,5184,5376
"e'",64,0,5376,6144
"e'",64,0,6528,6720
"e'",64,0,6720,6912
"e'",64,0,6912,7104
"d'",62,0,7104,7296
"c'",60,0,7296,7488
"e'",64,0,7488,7680
"d'",62,0,7680,8448
"d'",62,0,8448,9216
"d'",62,0,9600,9792
"e'",64,0,9792,9984
"f'",65,0,9984,10176
"f'",65,0,10176,10368
"e'",64,0,10368,10560
"d'",62,0,10560,10752
"e'",64,0,10752,11520
"g'",67,0,11520,12288
"g'",67,0,13056,13632
"a'",69,0,13632,13824
"g'",67,0,13824,15360
"c''",72,0,15744,15936
"b'",71,0,15936,16128
"a'",69,0,16128,16512
"c''",72,0,16512,16896
"g'",67,0,16896,17472
"f'",65,0,17472,17664
"e'",64,0,17664,18432
"e'",64,0,18816,19008
"e'",64,0,19008,19200
"e'",64,0,19200,19392
"d'",62,0,19392,19584
"c'",60,0,19584,19776
"e'",64,0,19776,19968
"d'",62,0,19968,20736
"d'",62,0,20736,21504
"d'",62,0,21888,22080
"e'",64,0,22080,22272
"f'",65,0,22272,22464
"f'",65,0,22464,22656
"e'",64,0,22656,22848
"d'",62,0,22848,23040
"c'",60,0,23040,24576
"e'",64,0,24960,25152
"e'",64,0,25152,25344
"d'",62,0,25344,25728
"e'",64,0,25728,26112
"f'",65,0,26112,26880
"d'",62,0,26880,27648
"f'",65,0,28032,28224
"f'",65,0,28224,28416
"e'",64,0,28416,28800
"f'",65,0,28800,29184
"g'",67,0,29184,29952
"e'",64,0,29952,30720
"e'",64,0,31104,31296
"e'",64,0,31296,31488
"d'",62,0,31488,31872
"e'",64,0,31872,32256
"f'",65,0,32256,33024
"d'",62,0,33024,33792
"fis'",66,0,34176,34368
"g'",67,0,34368,34560
"a'",69,0,34560,34944
"fis'",66,0,34944,35328
"g'",67,0,35328,36288
"g'",67,0,36288,36480
"f'",65,0,36480,36672
"e'",64,0,36672,36864
"d'",62,0,36864,37248
"g'",67,0,37632,38208
"a'",69,0,38208,38400
"g'",67,0,38400,39936
"c''",72,0,40320,40512
"b'",71,0,40512,40704
"a'",69,0,40704,41088
"c''",72,0,41088,41472
"g'",67,0,41472,42048
"f'",65,0,42048,42240
"e'",64,0,42240,43008
"e'",64,0,43392,43584
"e'",64,0,43584,43776
"e'",64,0,43776,43968
"d'",62,0,43968,44160
"c'",60,0,44160,44352
"e'",64,0,44352,44544
"d'",62,0,44544,45312
"d'",62,0,45312,46080
"d'",62,0,46464,46656
"e'",64,0,46656,46848
"f'",65,0,46848,47040
"f'",65,0,47040,47232
"e'",64,0,47232,47424
"d'",62,0,47424,47616
"c'",60,0,47616,49152
"g'",67,0,49920,50496
"a'",69,0,50496,50688
"g'",67,0,50688,52224
"c''",72,0,52608,52800
"b'",71,0,52800,52992
"a'",69,0,52992,53376
"c''",72,0,53376,53760
"g'",67,0,53760,54336
"f'",65,0,54336,54528
"e'",64,0,54528,55296
"e'",64,0,55680,55872
"e'",64,0,55872,56064
"e'",64,0,56064,56256
"d'",62,0,56256,56448
"c'",60,0,56448,56640
"e'",64,0,56640,56832
"d'",62,0,56832,57600
"d'",62,0,57600,58368
"d'",62,0,58752,58944
"e'",64,0,58944,59136
"f'",65,0,59136,59328
"f'",65,0,59328,59520
"e'",64,0,59520,59712
"d'",62,0,59712,59904
"e'",64,0,59904,60672
"g'",67,0,60672,61440
"g'",67,0,62208,62784
"a'",69,0,62784,62976
"g'",67,0,62976,64512
"c''",72,0,64896,65088
"b'",71,0,65088,65280
"a'",69,0,65280,65664
"c''",72,0,65664,66048
"g'",67,0,66048,66624
"f'",65,0,66624,66816
"e'",64,0,66816,67584
"e'",64,0,67968,68160
"e'",64,0,68160,68352
"e'",64,0,68352,68544
"d'",62,0,68544,68736
"c'",60,0,68736,68928
"e'",64,0,68928,69120
"d'",62,0,69120,69888
"d'",62,0,69888,70656
"d'",62,0,71040,71232
"e'",64,0,71232,71424
"f'",65,0,71424,71616
"f'",65,0,71616,71808
"e'",64,0,71808,72000
"d'",62,0,72000,72192
"c'",60,0,72192,73728
"e'",64,0,74112,74304
"e'",64,0,74304,74496
"d'",62,0,74496,74880
"e'",64,0,74880,75264
"f'",65,0,75264,76032
"d'",62,0,76032,76800
"f'",65,0,77184,77376
"f'",65,0,77376,77568
"e'",64,0,77568,77952
"f'",65,0,77952,78336
"g'",67,0,78336,79104
"e'",64,0,79104,79872
"e'",64,0,80256,80448
"e'",64,0,80448,80640
"d'",62,0,80640,81024
"e'",64,0,81024,81408
"f'",65,0,81408,82176
"d'",62,0,82176,82944
"fis'",66,0,83328,83520
"g'",67,0,83520,83712
"a'",69,0,83712,84096
"fis'",66,0,84096,84480
"g'",67,0,84480,85440
"g'",67,0,85440,85632
"f'",65,0,85632,85824
"e'",64,0,85824,86016
"d'",62,0,86016,86400
"g'",67,0,86784,87360
"a'",69,0,87360,87552
"g'",67,0,87552,89088
"c''",72,0,89472,89664
"b'",71,0,89664,89856
"a'",69,0,89856,90240
"c''",72,0,90240,90624
"g'",67,0,90624,91200
"f'",65,0,91200,91392
"e'",64,0,91392,92160
"e'",64,0,92544,92736
"e'",64,0,92736,92928
"e'",64,0,92928,93120
"d'",62,0,93120,93312
"c'",60,0,93312,93504
"e'",64,0,93504,93696
"d'",62,0,93696,94464
"d'",62,0,94464,95232
"d'",62,0,95616,95808
"e'",64,0,95808,96000
"f'",65,0,96000,96192
"f'",65,0,96192,96384
"e'",64,0,96384,96576
"d'",62,0,96576,96768
"c'",60,0,96768,98304
