"pitch","midi","channel","on_tick","off_tick"
"fis'",66,0,0,192
"fis'",66,0,192,384
"fis'",66,0,384,576
"g'",67,0,576,768
"fis'",66,0,768,960
"e'",64,0,960,1152
"d'",62,0,1152,1344
"g'",67,0,1344,1536
"fis'",66,0,1536,1920
"e'",64,0,1920,2304
"d'",62,0,2304,3072
"e'",64,0,3072,3264
"e'",64,0,3264,3456
"e'",64,0,3456,3648
"d'",62,0,3648,3840
"e'",64,0,3840,4032
"fis'",66,0,4032,4224
"g'",67,0,4224,4416
"fis'",66,0,4416,4608
"e'",64,0,4608,5760
"fis'",66,0,6144,6336
"fis'",66,0,6336,6528
"fis'",66,0,6528,6720
"g'",67,0,6720,6912
"fis'",66,0,6912,7104
"e'",64,0,7104,7296
"d'",62,0,7296,7488
"g'",67,0,7488,7680
"fis'",66,0,7680,8064
"e'",64,0,8064,8448
"d'",62,0,8448,9216
"e'",64,0,9216,9408
"e'",64,0,9408,9600
"e'",64,0,9600,9792
"fis'",66,0,9792,9984
"g'",67,0,9984,10176
"fis'",66,0,10176,10368
"e'",64,0,10368,10560
"fis'",66,0,10560,10752
"d'",62,0,10752,11904
"b'",71,0,12288,12480
"b'",71,0,12480,12672
"b'",71,0,12672,12864
"b'",71,0,12864,13056
"g'",67,0,13056,13248
"g'",67,0,13248,13440
"a'",69,0,13440,13632
"b'",71,0,13632,13824
"a'",69,0,13824,14976
"g'",67,0,15360,15552
"g'",67,0,15552,15744
"g'",67,0,15744,15936
"g'",67,0,15936,16128
"g'",67,0,16128,16320
"g'",67,0,16320,16512
"a'",69,0,16512,16704
"b'",71,0,16704,16896
"cis''",73,0,16896,18048
"d''",74,0,18432,18624
"d''",74,0,18624,18816
"d''",74,0,18816,19008
"d''",74,0,19008,19200
"d''",74,0,19200,19392
"d''",74,0,19392,19584
"cis''",73,0,19584,19776
"b'",71,0,19776,19968
"a'",69,0,19968,21120
"g'",67,0,21504,21696
"g'",67,0,21696,21888
"a'",69,0,21888,22080
"g'",67,0,22080,22272
"fis'",66,0,22272,22464
"fis'",66,0,22464,22656
"e'",64,0,22656,22848
"e'",64,0,22848,23040
"d'",62,0,23040,24192
