"snippet","data_ref","x","y","bar","bar_moment"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM287_PegangTanganTuhan/GPM287_PegangTanganTuhan_ly_data.ily:48:4:5",10.536,15.289,1.0,"0"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM287_PegangTanganTuhan/GPM287_PegangTanganTuhan_ly_data.ily:48:10:11",14.784,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM287_PegangTanganTuhan/GPM287_PegangTanganTuhan_ly_data.ily:48:16:17",19.144,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM287_PegangTanganTuhan/GPM287_PegangTanganTuhan_ly_data.ily:48:22:23",23.238,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM287_PegangTanganTuhan/GPM287_PegangTanganTuhan_ly_data.ily:48:26:27",28.127,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM287_PegangTanganTuhan/GPM287_PegangTanganTuhan_ly_data.ily:48:32:33",32.358,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM287_PegangTanganTuhan/GPM287_PegangTanganTuhan_ly_data.ily:48:36:37",37.366,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM287_PegangTanganTuhan/GPM287_PegangTanganTuhan_ly_data.ily:48:40:41",41.666,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM287_PegangTanganTuhan/GPM287_PegangTanganTuhan_ly_data.ily:48:46:47",47.016,15.289,2.0,"1"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM287_PegangTanganTuhan/GPM287_PegangTanganTuhan_ly_data.ily:48:52:53",51.204,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM287_PegangTanganTuhan/GPM287_PegangTanganTuhan_ly_data.ily:48:56:57",54.834,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM287_PegangTanganTuhan/GPM287_PegangTanganTuhan_ly_data.ily:49:4:5",63.345,15.289,3.0,"2"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM287_PegangTanganTuhan/GPM287_PegangTanganTuhan_ly_data.ily:49:8:9",66.825,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM287_PegangTanganTuhan/GPM287_PegangTanganTuhan_ly_data.ily:49:12:13",71.355,15.289,"",""
