"pitch","midi","channel","on_tick","off_tick"
"g'",67,0,192,384
"g'",67,0,384,576
"g'",67,0,576,768
"g'",67,0,768,960
"e'",64,0,960,1152
"e'",64,0,1152,1344
"d'",62,0,1344,1536
"c'",60,0,1536,1920
"d'",62,0,1920,2304
"e'",64,0,2304,2688
"e'",64,0,2688,3072
"c'",60,0,3264,3456
"c'",60,0,3456,3648
"c'",60,0,3648,3840
"c''",72,0,3840,4224
"c''",72,0,4224,4608
"a'",69,0,4608,4800
"g'",67,0,4800,4992
"a'",69,0,4992,5184
"g'",67,0,5184,5376
"g'",67,0,5376,5760
"g'",67,0,5760,6144
"g'",67,0,6336,6528
"g'",67,0,6528,6720
"g'",67,0,6720,6912
"g'",67,0,6912,7104
"e'",64,0,7104,7296
"e'",64,0,7296,7488
"d'",62,0,7488,7680
"c'",60,0,7680,8064
"d'",62,0,8064,8448
"e'",64,0,8448,8832
"e'",64,0,8832,9216
"a'",69,0,9408,9600
"a'",69,0,9600,9792
"a'",69,0,9792,9984
"g'",67,0,9984,10176
"e'",64,0,10176,10368
"e'",64,0,10368,10560
"e'",64,0,10560,10752
"d'",62,0,10752,10944
"d'",62,0,10944,11136
"e'",64,0,11136,11328
"e'",64,0,11328,11520
"g'",67,0,11520,11904
"g'",67,0,11904,12288
"a'",69,0,12480,12672
"a'",69,0,12672,12864
"a'",69,0,12864,13056
"g'",67,0,13056,13248
"e'",64,0,13248,13440
"e'",64,0,13440,13632
"e'",64,0,13632,13824
"d'",62,0,13824,14016
"d'",62,0,14016,14208
"e'",64,0,14208,14400
"d'",62,0,14400,14592
"c'",60,0,14592,14976
"c'",60,0,14976,15360
"c'",60,0,15744,16128
"c''",72,0,16128,16512
"c''",72,0,16512,17280
"a'",69,0,17280,17664
"g'",67,0,17664,18240
"a'",69,0,18240,18432
"g'",67,0,18432,18816
"e'",64,0,18816,19008
"e'",64,0,19008,19200
"d'",62,0,19200,19584
"e'",64,0,19584,19968
"g'",67,0,19968,20352
"a'",69,0,20352,20736
"g'",67,0,20736,21504
"c'",60,0,21888,22272
"c''",72,0,22272,22656
"c''",72,0,22656,23424
"a'",69,0,23424,23808
"g'",67,0,23808,24384
"a'",69,0,24384,24576
"g'",67,0,24576,24960
"g'",67,0,24960,25152
"g'",67,0,25152,25344
"a'",69,0,25344,25728
"c''",72,0,25728,26112
"d''",74,0,26112,26496
"c''",72,0,26496,26880
"c''",72,0,26880,27648
