"snippet","data_ref","x","y","tied_data_refs"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:44:15:16",12.736,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:44:19:20",17.548,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:44:23:24",20.567,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:44:29:30",24.757,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:44:33:34",28.511,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:44:37:38",33.007,12.736,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:44:41:42",36.367,12.736,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:44:45:46",40.018,12.736,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:44:49:50",43.72,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:44:55:56",49.111,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:44:59:60",52.74,12.736,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:45:4:5",58.569,12.736,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:45:8:9",61.094,12.736,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:45:12:13",63.78,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:45:18:19",67.97,12.736,""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:45:23:24",71.6,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:45:28:29",75.229,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:45:34:35",77.658,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:45:39:40",80.087,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:45:45:46",82.516,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:45:52:53",86.707,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:45:56:57",90.336,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:46:4:5",96.165,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:46:8:9",98.594,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:46:12:13",101.75,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:46:18:19",106.758,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:46:22:23",111.05,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:46:26:27",113.591,12.736,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:46:30:31",117.139,12.736,""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:46:34:35",121.473,12.736,""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:46:38:39",125.102,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:46:44:45",130.493,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:46:48:49",134.122,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:4:5",139.951,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:8:9",143.132,12.736,""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:12:13",145.981,12.736,""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:18:19",150.172,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:22:23",152.601,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:26:27",155.919,12.736,""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM305_MemberlakukanPerdamaianAllah/GPM305_MemberlakukanPerdamaianAllah_ly_data.ily:47:30:31",159.74,12.736,""
