"pitch","midi","channel","on_tick","off_tick"
"e'",64,0,0,384
"f'",65,0,384,768
"fis'",66,0,768,1152
"g'",67,0,1152,2304
"e'",64,0,2304,3072
"e'",64,0,3072,3456
"e'",64,0,3456,3840
"d'",62,0,3840,4224
"c'",60,0,4224,4608
"e'",64,0,4608,5376
"f'",65,0,5760,6144
"g'",67,0,6144,6528
"a'",69,0,6528,6912
"g'",67,0,6912,7296
"g'",67,0,7296,7680
"g'",67,0,7680,7872
"g'",67,0,7872,8064
"c''",72,0,8064,8448
"c''",72,0,8448,8832
"c''",72,0,8832,9216
"c''",72,0,9216,9600
"a'",69,0,9600,9984
"c''",72,0,9984,10368
"b'",71,0,10368,11136
"a'",69,0,11520,11904
"a'",69,0,11904,12288
"a'",69,0,12288,12672
"f'",65,0,12672,13056
"g'",67,0,13056,13440
"a'",69,0,13440,13824
"g'",67,0,13824,14976
"e'",64,0,14976,16128
"a'",69,0,16128,16512
"c''",72,0,16512,16896
"a'",69,0,16896,17280
"b'",71,0,17280,17664
"a'",69,0,17664,18048
"b'",71,0,18048,18432
"c''",72,0,18432,19584
"c''",72,0,19584,20352
