"snippet","data_ref","x","y","bar","bar_moment"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:45:1:2",10.536,12.736,1.0,"0"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:45:5:6",13.581,12.736,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:45:9:10",16.508,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:46:1:2",21.54,12.736,2.0,"3/4"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:47:1:2",31.066,12.736,3.0,"3/2"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:47:5:6",36.603,12.736,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:48:1:2",41.292,12.736,4.0,"9/4"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:48:7:8",44.219,12.736,"",""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:48:12:13",47.146,12.736,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:49:1:2",51.835,12.736,5.0,"3"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:50:1:2",61.519,12.736,6.0,"15/4"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:50:5:6",65.494,12.736,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:50:9:10",70.255,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:51:1:2",74.943,12.736,7.0,"9/2"
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:51:5:6",78.167,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:51:9:10",82.783,12.736,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:51:13:14",86.519,12.736,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:52:1:2",90.31,12.736,8.0,"21/4"
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:52:6:7",94.2,12.736,"",""
"c''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM309_DiSaatSusah/GPM309_DiSaatSusah_ly_data.ily:52:11:12",98.679,12.736,"",""
