"pitch","midi","channel","on_tick","off_tick"
"a",57,0,192,384
"d'",62,0,384,576
"fis'",66,0,576,768
"a'",69,0,768,1344
"fis'",66,0,1344,1536
"b'",71,0,1536,1728
"a'",69,0,1728,1920
"fis'",66,0,1920,2112
"d'",62,0,2112,2304
"e'",64,0,2304,3072
"a",57,0,3264,3456
"cis'",61,0,3456,3648
"e'",64,0,3648,3840
"g'",67,0,3840,4416
"b'",71,0,4416,4608
"b'",71,0,4608,4800
"b'",71,0,4800,4992
"cis''",73,0,4992,5184
"b'",71,0,5184,5376
"a'",69,0,5376,6144
"fis'",66,0,6336,6528
"fis'",66,0,6528,6720
"g'",67,0,6720,6912
"a'",69,0,6912,7104
"a'",69,0,7104,7296
"a'",69,0,7296,7488
"b'",71,0,7488,7680
"a'",69,0,7680,8256
"d''",74,0,8256,8448
"d''",74,0,8448,8640
"b'",71,0,8640,8832
"b'",71,0,8832,9024
"a'",69,0,9024,9216
"b'",71,0,9216,9792
"b'",71,0,9792,9984
"a'",69,0,9984,10176
"fis'",66,0,10176,10368
"d'",62,0,10368,10560
"fis'",66,0,10560,10752
"g'",67,0,10752,10944
"e'",64,0,10944,11136
"d'",62,0,11136,11328
"cis'",61,0,11328,11520
"d'",62,0,11520,12288
"a'",69,0,12480,12672
"a'",69,0,12672,12864
"a'",69,0,12864,13056
"a'",69,0,13056,13248
"e'",64,0,13248,13440
"e'",64,0,13440,14208
"a'",69,0,14400,14592
"a'",69,0,14592,14784
"fis'",66,0,14784,14976
"fis'",66,0,14976,15360
"a'",69,0,15552,15744
"a'",69,0,15744,15936
"a'",69,0,15936,16128
"a'",69,0,16128,16320
"e'",64,0,16320,16512
"e'",64,0,16512,17088
"e'",64,0,17088,17280
"d'",62,0,17280,17472
"e'",64,0,17472,17664
"fis'",66,0,17664,18432
"d'",62,0,18624,18816
"d'",62,0,18816,19008
"fis'",66,0,19008,19200
"a'",69,0,19200,19392
"a'",69,0,19392,19584
"a'",69,0,19584,19776
"b'",71,0,19776,19968
"a'",69,0,19968,20352
"d''",74,0,20544,20736
"d''",74,0,20736,20928
"b'",71,0,20928,21120
"b'",71,0,21120,21312
"a'",69,0,21312,21504
"b'",71,0,21504,21888
"b'",71,0,22080,22272
"a'",69,0,22272,22656
"d''",74,0,22656,23040
"cis''",73,0,23040,23424
"cis''",73,0,23424,23808
"d''",74,0,23808,24576
"a",57,0,24768,24960
"d'",62,0,24960,25152
"fis'",66,0,25152,25344
"a'",69,0,25344,25920
"fis'",66,0,25920,26112
"b'",71,0,26112,26304
"a'",69,0,26304,26496
"fis'",66,0,26496,26688
"d'",62,0,26688,26880
"e'",64,0,26880,27648
"a",57,0,27840,28032
"cis'",61,0,28032,28224
"e'",64,0,28224,28416
"g'",67,0,28416,28992
"b'",71,0,28992,29184
"b'",71,0,29184,29376
"b'",71,0,29376,29568
"cis''",73,0,29568,29760
"b'",71,0,29760,29952
"a'",69,0,29952,30720
"fis'",66,0,30912,31104
"fis'",66,0,31104,31296
"g'",67,0,31296,31488
"a'",69,0,31488,31680
"a'",69,0,31680,31872
"a'",69,0,31872,32064
"b'",71,0,32064,32256
"a'",69,0,32256,32832
"d''",74,0,32832,33024
"d''",74,0,33024,33216
"b'",71,0,33216,33408
"b'",71,0,33408,33600
"a'",69,0,33600,33792
"b'",71,0,33792,34368
"b'",71,0,34368,34560
"a'",69,0,34560,34752
"fis'",66,0,34752,34944
"d'",62,0,34944,35136
"fis'",66,0,35136,35328
"g'",67,0,35328,35520
"e'",64,0,35520,35712
"d'",62,0,35712,35904
"cis'",61,0,35904,36096
"d'",62,0,36096,36864
"a'",69,0,37056,37248
"a'",69,0,37248,37440
"a'",69,0,37440,37632
"a'",69,0,37632,37824
"e'",64,0,37824,38016
"e'",64,0,38016,38784
"a'",69,0,38976,39168
"a'",69,0,39168,39360
"fis'",66,0,39360,39552
"fis'",66,0,39552,39936
"a'",69,0,40128,40320
"a'",69,0,40320,40512
"a'",69,0,40512,40704
"a'",69,0,40704,40896
"e'",64,0,40896,41088
"e'",64,0,41088,41664
"e'",64,0,41664,41856
"d'",62,0,41856,42048
"e'",64,0,42048,42240
"fis'",66,0,42240,43008
"d'",62,0,43200,43392
"d'",62,0,43392,43584
"fis'",66,0,43584,43776
"a'",69,0,43776,43968
"a'",69,0,43968,44160
"a'",69,0,44160,44352
"b'",71,0,44352,44544
"a'",69,0,44544,44928
"d''",74,0,45120,45312
"d''",74,0,45312,45504
"b'",71,0,45504,45696
"b'",71,0,45696,45888
"a'",69,0,45888,46080
"b'",71,0,46080,46464
"b'",71,0,46656,46848
"a'",69,0,46848,47232
"d''",74,0,47232,47616
"cis''",73,0,47616,48000
"cis''",73,0,48000,48384
"d''",74,0,48384,49152
