"snippet","data_ref","x","y","bar","bar_moment"
"a","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:62:16:17",12.736,15.289,0.0,"0"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:62:19:20",15.516,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:62:23:24",18.356,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:62:31:32",22.548,15.289,1.0,"1/2"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:62:36:37",30.202,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:62:42:43",34.288,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:62:46:47",37.0,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:62:50:51",40.42,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:62:56:57",43.474,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:62:62:63",47.664,15.289,2.0,"3/2"
"a","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:63:5:6",56.614,15.289,"",""
"cis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:63:8:9",59.043,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:63:14:15",61.472,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:63:20:21",65.663,15.289,3.0,"5/2"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:63:25:26",73.317,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:63:29:30",77.404,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:63:33:34",80.115,15.289,"",""
"cis''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:63:37:38",83.536,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:63:44:45",86.589,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:63:50:51",90.78,15.289,4.0,"7/2"
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:64:5:6",99.73,15.289,"",""
"fis'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:64:11:12",102.186,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:64:17:18",104.855,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:64:23:24",109.045,15.289,5.0,"9/2"
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:64:27:28",111.834,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:64:31:32",115.639,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:64:35:36",120.459,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:64:39:40",123.017,15.289,"",""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:64:44:45",130.706,15.289,"",""
"d''","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:64:51:52",134.896,15.289,6.0,"11/2"
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:64:56:57",138.658,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:64:60:61",141.592,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:64:64:65",144.21,15.289,"",""
"b'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM310_SatuTanganTakKuat/GPM310_SatuTanganTakKuat_ly_data.ily:65:2:3",146.639,15.289,"",""
