"snippet","data_ref","x","y","bar","bar_moment"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:49:7:8",12.736,15.289,1.0,"0"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:49:11:12",17.036,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:49:15:16",21.378,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:49:19:20",25.421,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:49:23:24",29.96,15.289,"",""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:49:27:28",33.5,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:49:31:32",36.963,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:49:37:38",41.154,15.289,2.0,"1"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:49:41:42",43.583,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:49:45:46",47.932,15.289,"",""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:49:49:50",50.362,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:49:58:59",59.031,15.289,3.0,"2"
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:49:62:63",61.46,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:49:66:67",64.368,15.289,"",""
"a'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:49:70:71",67.951,15.289,"",""
"g'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:49:74:75",70.723,15.289,"",""
"f'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:49:79:80",76.272,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:49:85:86",80.463,15.289,4.0,"3"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:50:7:8",98.565,15.289,5.0,"4"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:50:11:12",102.13,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:50:15:16",105.875,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:50:19:20",108.997,15.289,"",""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:50:23:24",111.905,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:50:27:28",114.334,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:50:33:34",118.525,15.289,6.0,"5"
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:50:37:38",120.954,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:50:41:42",125.304,15.289,"",""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:50:45:46",127.733,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:50:54:55",136.402,15.289,7.0,"6"
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:50:58:59",138.978,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:50:62:63",142.091,15.289,"",""
"e'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:50:66:67",144.52,15.289,"",""
"d'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:50:70:71",147.087,15.289,"",""
"c'","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:50:74:75",149.662,15.289,"",""
"b","D:/Materi/Semester8/Skripsi2/tugas_akhir/data/nyanyianGPM/GPM313_KatongBakumpulRameRame/GPM313_KatongBakumpulRameRame_ly_data.ily:50:78:79",153.134,15.289,"",""
